Province/State,Country/Region,Lat,Long,3/4/20,3/5/20,3/6/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/16/20,3/17/20,3/18/20
,Andalucía,0,0,0,0,0,0,0,0,0,0,11,19,23
,Aragón,0,0,0,0,1,1,3,4,6,7,12,13,15
,Asturias,0,0,0,0,0,0,0,0,1,1,1,1,1
,Baleares,0,0,0,0,0,0,0,0,1,1,1,1,2
,Canarias,0,0,0,0,0,0,0,0,0,0,2,3,3
,Cantabria,0,0,0,0,0,0,0,0,0,0,0,1,1
,Castilla La Mancha,0,0,0,0,0,0,0,0,1,5,17,28,42
,Castilla y León,0,0,0,0,0,0,0,0,0,1,12,22,29
,Cataluña,0,0,0,0,0,1,3,3,4,4,18,41,55
,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0
,C Valenciana,0,0,0,1,1,1,1,1,1,1,13,22,24
,Extremadura,0,0,0,0,0,0,0,0,1,1,3,6,8
,Galicia,0,0,0,0,0,0,0,0,0,0,3,3,4
,Madrid,0,0,0,1,2,8,21,31,56,81,355,390,498
,Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0
,Murcia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Navarra,0,0,0,0,0,0,0,0,0,0,2,3,4
,País Vasco,0,0,0,1,1,5,6,6,11,14,36,40,53
,La Rioja,0,0,0,0,0,0,1,2,2,2,5,5,5
,Total,0,0,1,3,5,16,35,47,84,120,491,598,767
