Province/State,Country/Region,Lat,Long,3/18/20,3/17/20,3/16/20,3/13/20,3/12/20,3/11/20,3/10/20,3/9/20,3/6/20,3/5/20,3/4/20
,Andalucía,0,0,13,12,21,54,71,90,115,219,683,859,1008
,Aragón,0,0,0,1,6,13,38,45,64,80,207,226,281
,Asturias,0,0,2,5,5,7,22,32,47,67,193,242,292
,Baleares,0,0,5,6,6,11,13,16,22,30,92,112,169
,Canarias,0,0,7,8,11,22,25,37,51,70,148,181,220
,Cantabria,0,0,10,10,10,12,12,12,16,29,58,68,83
,Castilla La Mancha,0,0,12,13,15,26,39,71,115,194,567,675,801
,Castilla y León,0,0,11,11,14,23,56,71,92,169,431,668,868
,Cataluña,0,0,15,24,24,75,124,156,260,316,1394,1866,2702
,Ceuta,0,0,0,0,0,0,0,0,0,0,1,1,1
,C Valenciana,0,0,19,19,30,37,50,65,76,94,541,726,921
,Extremadura,0,0,6,6,6,7,8,9,19,39,153,194,241
,Galicia,0,0,1,1,3,6,22,39,35,85,292,341,453
,Madrid,0,0,70,90,137,469,782,1024,1388,1990,4871,5637,6777
,Melilla,0,0,0,0,0,0,0,0,0,2,17,20,23
,Murcia,0,0,0,0,0,4,9,11,26,35,97,122,167
,Navarra,0,0,3,3,3,3,12,46,73,130,313,386,482
,País Vasco,0,0,17,17,45,149,195,225,346,417,765,973,1190
,La Rioja,0,0,7,11,29,81,144,179,205,243,355,419,468
,Total,0,0,198,237,365,999,1622,2128,2950,4209,11178,13716,17147
